Department,SKUID,Brand,Model,UnitsSold,AvgUnitCost,NetRevenue,COGS,AvgDailyInvCOGS,MarkupRatio,ItemTurns,VelocityTier,NoSalesHistory,IsMarkdown,MarkdownDepth,MarkdownRate
Sleep Systems,SLEEP_SYSTEMS_0056,Shorebreak,Shorebreak X1,46,27.79,1479.94,1280.87,871.4,1.1554,1.4699,Slow,False,True,0.1428,0.7611
Sleep Systems,SLEEP_SYSTEMS_0057,Shorebreak,Shorebreak LTD,21,77.45,2460.32,1695.81,1597.74,1.4508,1.0614,Slow,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0058,Clearwater,Clearwater Lite,3,466.4,1589.12,1490.71,944.59,1.066,1.5782,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0059,Ridgecrest,Ridgecrest Sport,11,25.54,390.9,283.25,202.68,1.3801,1.3975,Slow,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0060,Summitform,Summitform Apex,0,543.84,261.0,226.17,112.59,1.154,2.0088,Moderate,True,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0061,Basecamp,Basecamp Lite,64,237.11,21277.66,15316.39,3525.5,1.3892,4.3445,Fast,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0062,Ironpass,Ironpass Base,3,213.51,1057.48,731.92,282.02,1.4448,2.5953,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0063,Gravelpath,Gravelpath MAX,16,467.5,8234.95,7726.9,4379.61,1.0658,1.7643,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0064,Ironpass,Ironpass Pro,0,268.14,48.39,37.49,20.0,1.2907,1.8746,Moderate,True,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0065,Summitform,Summitform LTD,0,339.8,20.39,19.01,34.03,1.073,0.5584,Slow,True,True,0.3154,0.5199
Sleep Systems,SLEEP_SYSTEMS_0066,Canyonset,Canyonset Sport,19,185.76,5013.26,3709.57,2421.79,1.3514,1.5318,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0067,Basecamp,Basecamp LTD,2,647.75,1982.48,1396.75,778.91,1.4194,1.7932,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0068,Ridgecrest,Ridgecrest Base,14,573.7,11921.42,8525.81,6802.72,1.3983,1.2533,Slow,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0069,Clearwater,Clearwater Foundation,69,87.85,6993.77,6140.5,4412.54,1.139,1.3916,Slow,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0070,Clearwater,Clearwater Origin,14,348.4,5737.54,5115.11,3006.19,1.1217,1.7015,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0071,Canyonset,Canyonset Pro,3,227.91,1025.6,834.35,1497.8,1.2292,0.5571,Slow,False,True,0.3062,0.641
Sleep Systems,SLEEP_SYSTEMS_0072,Canyonset,Canyonset Ascent,31,32.71,1361.71,1032.86,526.44,1.3184,1.962,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0073,Shorebreak,Shorebreak Series II,24,26.74,780.57,647.29,969.01,1.2059,0.668,Slow,False,True,0.4749,0.4375
Sleep Systems,SLEEP_SYSTEMS_0074,Shorebreak,Shorebreak Xpedition,13,62.45,1047.55,826.37,1310.1,1.2676,0.6308,Slow,False,True,0.2668,0.5573
Sleep Systems,SLEEP_SYSTEMS_0075,Summitform,Summitform Origin,1,349.65,575.11,466.82,730.74,1.232,0.6388,Slow,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0076,Ironpass,Ironpass Lite,11,489.2,7066.65,5495.25,4476.25,1.286,1.2276,Slow,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0077,Clearwater,Clearwater LTD,6,343.76,3489.37,2329.79,1095.18,1.4977,2.1273,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0078,Basecamp,Basecamp Base,1,529.44,820.2,642.08,377.27,1.2774,1.7019,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0079,Canyonset,Canyonset Enduro,1,439.62,911.55,831.17,720.75,1.0967,1.1532,Slow,False,True,0.2683,0.5306
Sleep Systems,SLEEP_SYSTEMS_0080,Ridgecrest,Ridgecrest Xpedition,3,631.31,2672.71,1923.55,1312.98,1.3895,1.465,Slow,False,True,0.1139,0.6068
Sleep Systems,SLEEP_SYSTEMS_0081,Shorebreak,Shorebreak Venture,0,429.9,17.32,14.27,20.0,1.2137,0.7136,Slow,True,True,0.2584,0.6493
Sleep Systems,SLEEP_SYSTEMS_0082,Ironpass,Ironpass Xpedition,4,206.14,978.95,940.11,1203.88,1.0413,0.7809,Slow,False,True,0.4062,0.5824
Sleep Systems,SLEEP_SYSTEMS_0083,Ridgecrest,Ridgecrest X1,0,302.68,336.47,243.13,196.61,1.3839,1.2366,Slow,True,True,0.3354,0.4012
Sleep Systems,SLEEP_SYSTEMS_0084,Summitform,Summitform Sport,0,208.88,52.9,38.94,27.61,1.3582,1.4104,Slow,True,True,0.273,0.6816
Sleep Systems,SLEEP_SYSTEMS_0085,Summitform,Summitform MAX,0,323.64,125.0,81.9,59.87,1.5262,1.368,Slow,True,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0086,Summitform,Summitform Foundation,2,448.61,1668.07,1218.69,476.47,1.3687,2.5578,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0087,Canyonset,Canyonset Elite,0,221.22,40.28,27.1,20.0,1.4865,1.355,Slow,True,True,0.2174,0.4221
Sleep Systems,SLEEP_SYSTEMS_0088,Shorebreak,Shorebreak Pro,0,445.21,201.57,146.23,81.49,1.3784,1.7945,Moderate,True,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0089,Shorebreak,Shorebreak Traverse,0,240.05,98.39,62.74,59.49,1.5682,1.0546,Slow,True,True,0.2063,0.5839
Sleep Systems,SLEEP_SYSTEMS_0090,Ironpass,Ironpass Lite,8,372.38,4175.09,3281.9,1533.07,1.2722,2.1407,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0091,Clearwater,Clearwater Foundation,0,590.73,140.81,100.08,169.13,1.407,0.5917,Slow,True,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0092,Canyonset,Canyonset Traverse,16,218.92,4783.83,3641.14,2350.2,1.3138,1.5493,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0093,Canyonset,Canyonset LTD,8,74.18,734.35,606.51,315.02,1.2108,1.9253,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0094,Ironpass,Ironpass Comp,6,403.27,2717.64,2633.15,1985.28,1.0321,1.3263,Slow,False,True,0.2157,0.4787
Sleep Systems,SLEEP_SYSTEMS_0095,Basecamp,Basecamp Sport,20,171.64,5119.84,3511.7,1606.66,1.4579,2.1857,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0096,Ridgecrest,Ridgecrest Origin,75,315.97,28878.86,23780.62,4280.08,1.2144,5.5561,Fast,False,True,0.1035,0.3654
Sleep Systems,SLEEP_SYSTEMS_0097,Ironpass,Ironpass Summit,2,429.68,1107.62,860.28,645.27,1.2875,1.3332,Slow,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0098,Gravelpath,Gravelpath Series II,0,377.25,441.81,296.5,118.48,1.4901,2.5024,Moderate,True,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0099,Ironpass,Ironpass Carbon,87,23.87,2549.84,2094.03,1625.17,1.2177,1.2885,Slow,False,True,0.2443,0.3957
Sleep Systems,SLEEP_SYSTEMS_0100,Gravelpath,Gravelpath Crest,114,18.01,2452.61,2062.59,742.88,1.1891,2.7765,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0101,Ridgecrest,Ridgecrest Crest,6,437.02,4153.05,3051.72,1396.71,1.3609,2.1849,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0102,Basecamp,Basecamp Trail,0,64.78,74.98,60.05,120.0,1.2486,0.5004,Slow,True,True,0.4005,0.5853
Sleep Systems,SLEEP_SYSTEMS_0103,Canyonset,Canyonset Trail,3,511.88,2316.32,1788.23,680.38,1.2953,2.6283,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0104,Clearwater,Clearwater Enduro,46,271.48,14269.17,12726.2,5494.14,1.1212,2.3163,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0105,Summitform,Summitform Pro,16,216.21,3921.0,3541.21,1112.14,1.1073,3.1841,Fast,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0106,Canyonset,Canyonset Elite,0,606.17,34.53,25.13,20.0,1.3741,1.2564,Slow,True,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0107,Ridgecrest,Ridgecrest Ascent,0,455.08,44.9,31.14,20.0,1.4421,1.5569,Moderate,True,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0108,Ridgecrest,Ridgecrest Traverse,2,595.69,2239.57,1698.15,959.84,1.3188,1.7692,Moderate,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0109,Ridgecrest,Ridgecrest Ascent,0,208.14,136.95,123.92,104.24,1.1051,1.1887,Slow,True,True,0.2721,0.5713
Sleep Systems,SLEEP_SYSTEMS_0110,Clearwater,Clearwater Venture,47,556.32,32298.35,26494.92,5878.85,1.219,4.5068,Fast,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0111,Summitform,Summitform MAX,3,488.32,2259.76,1695.7,2090.17,1.3326,0.8113,Slow,False,True,0.3108,0.7695
Sleep Systems,SLEEP_SYSTEMS_0112,Basecamp,Basecamp Summit,0,621.84,138.99,95.05,169.39,1.4622,0.5612,Slow,True,True,0.3301,0.5743
Sleep Systems,SLEEP_SYSTEMS_0113,Gravelpath,Gravelpath Traverse,7,210.9,2031.56,1540.76,2131.98,1.3185,0.7227,Slow,False,True,0.2372,0.4409
Sleep Systems,SLEEP_SYSTEMS_0114,Shorebreak,Shorebreak Elite,0,386.52,423.9,310.23,177.89,1.3664,1.744,Moderate,True,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0115,Shorebreak,Shorebreak Comp,2,365.04,901.66,752.13,1164.5,1.1988,0.6459,Slow,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0116,Ironpass,Ironpass Apex,2,462.43,2184.52,1333.42,874.15,1.6383,1.5254,Moderate,False,True,0.2497,0.2969
Sleep Systems,SLEEP_SYSTEMS_0117,Clearwater,Clearwater Foundation,0,554.31,542.63,349.29,1017.95,1.5535,0.3431,Dead,True,True,0.3229,0.4548
Sleep Systems,SLEEP_SYSTEMS_0118,Gravelpath,Gravelpath Series II,38,159.54,8200.12,6129.82,1604.73,1.3377,3.8199,Fast,False,False,0.0,0.0
Sleep Systems,SLEEP_SYSTEMS_0119,Summitform,Summitform Carbon,29,140.07,4533.58,4186.75,3110.24,1.0828,1.3461,Slow,False,True,0.2334,0.5137
Sleep Systems,SLEEP_SYSTEMS_0120,Ridgecrest,Ridgecrest Enduro,7,137.28,1434.21,1077.84,498.25,1.3306,2.1633,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0001,Highmark,Highmark Lite,26,39.0,1322.5,1020.02,210.89,1.2965,4.8366,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0002,Highmark,Highmark Carbon,4,110.94,770.61,497.54,389.22,1.5488,1.2783,Slow,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0003,Opentrail,Opentrail Team,4,165.02,1116.64,761.62,182.78,1.4661,4.1669,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0004,Coastline,Coastline Carbon,0,559.63,259.28,219.89,109.33,1.1791,2.0113,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0005,Coastline,Coastline Crest,3,347.28,1375.49,1203.19,413.28,1.1432,2.9113,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0006,Hardpack,Hardpack Base,2,170.89,500.4,415.66,292.27,1.2039,1.4222,Slow,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0007,Coastline,Coastline Sport,3,207.09,1185.39,785.39,308.52,1.5093,2.5457,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0008,Coastline,Coastline X1,14,215.45,4428.75,3202.18,645.64,1.383,4.9597,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0009,Highmark,Highmark MAX,1,446.19,1011.89,696.79,1239.85,1.4522,0.562,Slow,False,True,0.3486,0.7241
Climbing Gear,CLIMBING_GEAR_0010,Coastline,Coastline Comp,1,430.2,625.65,444.39,65.01,1.4079,6.8357,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0011,Opentrail,Opentrail Base,0,525.37,78.74,77.19,20.0,1.02,3.8597,Fast,True,True,0.0726,0.2548
Climbing Gear,CLIMBING_GEAR_0012,Hardpack,Hardpack Base,33,133.11,5606.64,4494.61,1067.43,1.2474,4.2107,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0013,Opentrail,Opentrail Ridge,3,180.96,662.16,616.23,324.41,1.0745,1.8995,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0014,Hardpack,Hardpack Apex,0,96.24,70.49,54.66,25.94,1.2897,2.1071,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0015,Opentrail,Opentrail Ridge,4,434.91,2532.61,1762.26,797.93,1.4371,2.2085,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0016,Opentrail,Opentrail Ascent,1,624.59,832.45,707.33,421.89,1.1769,1.6766,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0017,Coastline,Coastline Apex,8,260.33,3451.98,2234.54,665.81,1.5448,3.3561,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0018,Hardpack,Hardpack Summit,0,631.29,67.91,47.12,20.0,1.4413,2.3559,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0019,Coastline,Coastline Apex,7,155.89,1671.0,1133.46,937.4,1.4742,1.2092,Slow,False,True,0.1232,0.4415
Climbing Gear,CLIMBING_GEAR_0020,Opentrail,Opentrail Venture,1,614.75,1598.14,1171.36,553.74,1.3643,2.1154,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0021,Opentrail,Opentrail Series II,0,594.92,166.73,122.46,39.43,1.3615,3.1059,Fast,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0022,Coastline,Coastline X1,11,156.97,2654.12,1834.41,669.58,1.4469,2.7396,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0023,Opentrail,Opentrail Traverse,5,113.45,769.57,600.64,439.92,1.2813,1.3653,Slow,False,True,0.1725,0.3777
Climbing Gear,CLIMBING_GEAR_0024,Opentrail,Opentrail Lite,0,403.01,268.99,203.44,578.92,1.3222,0.3514,Dead,True,True,0.2555,0.624
Climbing Gear,CLIMBING_GEAR_0025,Highmark,Highmark Series II,0,500.75,23.97,20.34,20.0,1.1783,1.0171,Slow,True,True,0.2806,0.5977
Climbing Gear,CLIMBING_GEAR_0026,Hardpack,Hardpack Foundation,8,487.04,5162.19,4329.48,1926.5,1.1923,2.2473,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0027,Highmark,Highmark X1,7,576.71,4626.52,4254.67,2359.03,1.0874,1.8036,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0028,Hardpack,Hardpack Foundation,0,634.21,750.13,523.83,334.64,1.432,1.5654,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0029,Hardpack,Hardpack Summit,0,451.69,308.09,227.27,74.61,1.3556,3.0462,Fast,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0030,Opentrail,Opentrail Series II,9,171.26,2336.3,1684.21,1018.88,1.3872,1.653,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0031,Hardpack,Hardpack Team,3,610.02,2667.55,1861.6,580.08,1.4329,3.2092,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0032,Highmark,Highmark X1,0,563.53,162.61,127.66,33.54,1.2738,3.8057,Fast,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0033,Coastline,Coastline Series II,0,553.77,217.13,154.26,142.62,1.4076,1.0816,Slow,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0034,Opentrail,Opentrail Tour,0,404.12,12.73,9.9,20.0,1.286,0.4949,Dead,True,True,0.3091,0.6685
Climbing Gear,CLIMBING_GEAR_0035,Coastline,Coastline Base,0,248.63,164.9,122.27,53.27,1.3487,2.2953,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0036,Coastline,Coastline MAX,1,154.25,368.79,307.24,241.06,1.2004,1.2745,Slow,False,True,0.2132,0.4495
Climbing Gear,CLIMBING_GEAR_0037,Coastline,Coastline Elite,4,195.6,1001.67,856.64,514.48,1.1693,1.6651,Moderate,False,True,0.1724,0.4712
Climbing Gear,CLIMBING_GEAR_0038,Coastline,Coastline Traverse,0,627.32,54.39,41.19,25.97,1.3205,1.5859,Moderate,True,True,0.1605,0.3735
Climbing Gear,CLIMBING_GEAR_0039,Coastline,Coastline Ridge,2,346.67,1280.64,995.68,243.09,1.2862,4.096,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0040,Hardpack,Hardpack Summit,0,140.29,93.99,66.65,20.0,1.4103,3.3325,Fast,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0041,Hardpack,Hardpack Sport,1,391.14,747.82,593.18,122.63,1.2607,4.8371,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0042,Coastline,Coastline X1,0,446.57,233.2,228.63,133.57,1.02,1.7118,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0043,Opentrail,Opentrail Signature,16,442.89,10300.33,7372.64,2106.0,1.3971,3.5008,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0044,Highmark,Highmark Traverse,2,439.64,1543.69,1256.07,238.3,1.229,5.2709,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0045,Coastline,Coastline Traverse,1,302.48,726.11,531.02,201.51,1.3674,2.6352,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0046,Hardpack,Hardpack Elite,12,85.5,1426.4,1093.17,518.95,1.3048,2.1065,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0047,Coastline,Coastline Tour,0,297.95,76.55,64.53,20.0,1.1862,3.2265,Fast,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0048,Opentrail,Opentrail Ridge,0,66.78,44.18,29.44,20.0,1.5006,1.4721,Slow,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0049,Hardpack,Hardpack Signature,0,71.51,67.73,47.36,116.91,1.4303,0.4051,Dead,True,True,0.2315,0.5812
Climbing Gear,CLIMBING_GEAR_0050,Coastline,Coastline Foundation,2,605.7,1776.47,1375.54,1863.56,1.2915,0.7381,Slow,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0051,Highmark,Highmark Team,0,224.59,94.82,74.29,67.47,1.2764,1.101,Slow,True,True,0.2042,0.4948
Climbing Gear,CLIMBING_GEAR_0052,Hardpack,Hardpack Crest,33,48.52,1797.23,1620.41,1010.61,1.1091,1.6034,Moderate,False,True,0.1995,0.4526
Climbing Gear,CLIMBING_GEAR_0053,Highmark,Highmark Lite,3,144.62,596.1,444.46,54.82,1.3412,8.107,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0054,Highmark,Highmark Enduro,6,185.7,1461.21,1182.69,533.63,1.2355,2.2163,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0055,Hardpack,Hardpack LTD,0,541.07,63.17,44.0,20.0,1.4357,2.2001,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0056,Opentrail,Opentrail Enduro,0,515.96,214.26,200.45,100.4,1.0689,1.9964,Moderate,True,True,0.2983,0.4739
Climbing Gear,CLIMBING_GEAR_0057,Highmark,Highmark Traverse,0,286.85,129.47,97.87,90.57,1.3229,1.0806,Slow,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0058,Hardpack,Hardpack Carbon,110,29.11,4447.38,3229.55,953.8,1.3771,3.386,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0059,Hardpack,Hardpack Comp,1,612.11,1356.94,979.04,306.92,1.386,3.1899,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0060,Hardpack,Hardpack Team,3,92.13,463.83,332.74,67.1,1.394,4.959,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0061,Highmark,Highmark Lite,87,28.54,2770.56,2509.28,1085.44,1.1041,2.3118,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0062,Opentrail,Opentrail Signature,8,93.93,817.97,759.15,107.55,1.0775,7.0584,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0063,Highmark,Highmark Traverse,0,339.31,46.57,31.58,32.99,1.4746,0.9575,Slow,True,True,0.1535,0.5457
Climbing Gear,CLIMBING_GEAR_0064,Highmark,Highmark Comp,2,68.38,292.59,195.25,101.98,1.4985,1.9146,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0065,Opentrail,Opentrail Origin,12,348.76,5869.5,4358.38,1929.02,1.3467,2.2594,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0066,Highmark,Highmark Team,1,321.93,387.76,335.47,170.06,1.1559,1.9727,Moderate,False,True,0.2465,0.396
Climbing Gear,CLIMBING_GEAR_0067,Coastline,Coastline Enduro,16,57.03,1464.18,913.82,611.45,1.6023,1.4945,Slow,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0068,Opentrail,Opentrail Foundation,0,391.99,440.9,281.91,53.03,1.564,5.3162,Fast,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0069,Highmark,Highmark Elite,1,518.94,861.06,640.78,987.41,1.3438,0.6489,Slow,False,True,0.2916,0.5562
Climbing Gear,CLIMBING_GEAR_0070,Hardpack,Hardpack Traverse,1,328.1,877.68,552.64,452.72,1.5882,1.2207,Slow,False,True,0.2674,0.4095
Climbing Gear,CLIMBING_GEAR_0071,Hardpack,Hardpack Sport,0,317.69,140.36,123.82,20.0,1.1336,6.1912,Fast,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0072,Hardpack,Hardpack Venture,12,188.28,3699.42,2290.86,396.33,1.6149,5.7802,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0073,Highmark,Highmark Crest,1,57.17,101.98,74.08,48.83,1.3766,1.5171,Moderate,False,True,0.1759,0.4267
Climbing Gear,CLIMBING_GEAR_0074,Hardpack,Hardpack Carbon,13,220.1,4092.8,2960.81,2208.6,1.3823,1.3406,Slow,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0075,Highmark,Highmark Elite,0,102.97,48.56,31.33,20.0,1.5499,1.5666,Moderate,True,True,0.2146,0.5805
Climbing Gear,CLIMBING_GEAR_0076,Highmark,Highmark Trail,29,66.73,2685.89,1999.05,472.2,1.3436,4.2335,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0077,Highmark,Highmark Trail,11,292.35,5182.97,3382.66,2011.18,1.5322,1.6819,Moderate,False,True,0.3054,0.3616
Climbing Gear,CLIMBING_GEAR_0078,Coastline,Coastline Xpedition,0,555.21,117.99,69.69,20.0,1.693,3.4847,Fast,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0079,Highmark,Highmark Crest,5,334.11,2629.8,1986.55,1873.6,1.3238,1.0603,Slow,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0080,Hardpack,Hardpack Foundation,0,383.02,133.61,97.37,25.2,1.3722,3.8638,Fast,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0081,Hardpack,Hardpack Ascent,6,273.16,2622.34,1760.16,704.1,1.4898,2.4999,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0082,Hardpack,Hardpack Origin,2,158.51,616.82,413.48,170.47,1.4918,2.4256,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0083,Opentrail,Opentrail Pro,0,240.09,181.33,158.56,46.01,1.1436,3.4462,Fast,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0084,Highmark,Highmark Traverse,38,233.34,12413.53,8988.93,687.97,1.381,13.0659,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0085,Opentrail,Opentrail Signature,1,402.03,713.76,439.53,351.48,1.6239,1.2505,Slow,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0086,Highmark,Highmark Ridge,105,40.4,6579.38,4249.6,2318.95,1.5482,1.8326,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0087,Coastline,Coastline Team,0,405.29,161.62,116.58,47.58,1.3864,2.45,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0088,Coastline,Coastline Elite,0,344.47,191.86,163.43,95.3,1.174,1.7148,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0089,Coastline,Coastline Base,12,51.89,990.07,657.92,458.84,1.5048,1.4339,Slow,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0090,Highmark,Highmark Venture,7,117.55,972.37,862.37,407.25,1.1276,2.1175,Moderate,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0091,Highmark,Highmark Signature,18,539.57,15931.6,10030.49,2307.75,1.5883,4.3464,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0092,Hardpack,Hardpack Ridge,2,601.53,1968.97,1466.74,961.7,1.3424,1.5251,Moderate,False,True,0.2655,0.4599
Climbing Gear,CLIMBING_GEAR_0093,Hardpack,Hardpack Foundation,52,99.43,7626.26,5227.69,1132.15,1.4588,4.6175,Fast,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0094,Hardpack,Hardpack Enduro,3,208.08,1094.17,795.93,540.02,1.3747,1.4739,Slow,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0095,Highmark,Highmark Elite,0,308.01,169.45,139.06,54.78,1.2185,2.5383,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0096,Coastline,Coastline Lite,0,464.28,487.96,350.31,154.33,1.393,2.2699,Moderate,True,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0097,Coastline,Coastline X1,1,462.02,670.74,600.91,427.56,1.1162,1.4054,Slow,False,False,0.0,0.0
Climbing Gear,CLIMBING_GEAR_0098,Coastline,Coastline Enduro,0,470.74,675.0,431.38,240.56,1.5648,1.7932,Moderate,True,True,0.3364,0.4816
Climbing Gear,CLIMBING_GEAR_0099,Hardpack,Hardpack Ascent,5,406.26,3386.43,2422.4,1207.5,1.398,2.0061,Moderate,False,False,0.0,0.0
