Department,SKUID,Brand,UnitsOnOrder,POCostValue,ExpectedReceiptDays
Snow Outerwear,SNOW_OUTERWEAR_0050,Edgewood,10,3476.7,29
Snow Outerwear,SNOW_OUTERWEAR_0051,Edgewood,2,908.78,21
Snow Outerwear,SNOW_OUTERWEAR_0059,Pinnacle,15,4014.15,57
Snow Outerwear,SNOW_OUTERWEAR_0063,Deepfreeze,2,341.48,15
Snow Outerwear,SNOW_OUTERWEAR_0067,Edgewood,6,2181.36,36
Snow Outerwear,SNOW_OUTERWEAR_0111,Firncrest,43,5361.24,47
Snow Outerwear,SNOW_OUTERWEAR_0114,Pinnacle,7,1096.83,30
Snow Outerwear,SNOW_OUTERWEAR_0118,Pinnacle,59,28696.42,72
Snow Outerwear,SNOW_OUTERWEAR_0123,Edgewood,8,3702.32,84
Snow Outerwear,SNOW_OUTERWEAR_0124,Ironpass,7,2654.54,117
Snow Outerwear,SNOW_OUTERWEAR_0132,Pinnacle,8,4654.32,69
Snow Outerwear,SNOW_OUTERWEAR_0141,Deepfreeze,13,6738.42,88
Snow Outerwear,SNOW_OUTERWEAR_0142,Firncrest,6,2209.02,29
Snow Outerwear,SNOW_OUTERWEAR_0144,Ironpass,13,5769.92,49
Snow Outerwear,SNOW_OUTERWEAR_0149,Ironpass,21,10079.37,84
Snow Outerwear,SNOW_OUTERWEAR_0151,Firncrest,10,3484.2,20
Snow Outerwear,SNOW_OUTERWEAR_0155,Ironpass,3,825.18,64
Snow Outerwear,SNOW_OUTERWEAR_0156,Ironpass,37,5023.49,13
Snow Outerwear,SNOW_OUTERWEAR_0161,Edgewood,17,10979.96,64
Snow Outerwear,SNOW_OUTERWEAR_0162,Pinnacle,9,3077.1,11
Snow Outerwear,SNOW_OUTERWEAR_0163,Pinnacle,6,1852.2,70
Snow Outerwear,SNOW_OUTERWEAR_0166,Pinnacle,4,2277.12,57
Snow Outerwear,SNOW_OUTERWEAR_0169,Ironpass,4,575.6,66
Snow Outerwear,SNOW_OUTERWEAR_0174,Pinnacle,4,622.36,38
Snow Outerwear,SNOW_OUTERWEAR_0176,Edgewood,5,2675.05,62
Snow Outerwear,SNOW_OUTERWEAR_0188,Ironpass,6,1455.9,7
Snow Outerwear,SNOW_OUTERWEAR_0190,Firncrest,11,4126.98,103
Snow Outerwear,SNOW_OUTERWEAR_0214,Pinnacle,6,1182.6,66
Snow Outerwear,SNOW_OUTERWEAR_0217,Pinnacle,3,1127.1,7
Snow Outerwear,SNOW_OUTERWEAR_0219,Pinnacle,4,941.88,52
Snow Outerwear,SNOW_OUTERWEAR_0227,Pinnacle,8,1228.96,27
Snow Outerwear,SNOW_OUTERWEAR_0233,Ironpass,20,10626.0,49
Snow Outerwear,SNOW_OUTERWEAR_0235,Firncrest,4,1453.8,80
Snow Outerwear,SNOW_OUTERWEAR_0239,Firncrest,7,234.22,12
Snow Outerwear,SNOW_OUTERWEAR_0240,Pinnacle,5,1557.35,38
Snow Outerwear,SNOW_OUTERWEAR_0242,Edgewood,8,2376.48,57
Snow Outerwear,SNOW_OUTERWEAR_0245,Ironpass,1,175.86,34
Snow Outerwear,SNOW_OUTERWEAR_0247,Deepfreeze,15,9384.6,25
Snow Outerwear,SNOW_OUTERWEAR_0248,Edgewood,13,5159.83,7
Technical Outerwear,TECHNICAL_OUTE_0010,Deepfreeze,5,2705.55,29
Technical Outerwear,TECHNICAL_OUTE_0025,Edgewood,1,649.67,62
Technical Outerwear,TECHNICAL_OUTE_0027,Tidefall,7,147.63,58
Technical Outerwear,TECHNICAL_OUTE_0028,Edgewood,7,4497.01,88
Technical Outerwear,TECHNICAL_OUTE_0031,Deepfreeze,7,3539.48,12
Technical Outerwear,TECHNICAL_OUTE_0033,Tidefall,1,523.35,39
Technical Outerwear,TECHNICAL_OUTE_0035,Ridgecrest,10,2890.4,3
Technical Outerwear,TECHNICAL_OUTE_0038,Coldrun,5,374.15,27
Technical Outerwear,TECHNICAL_OUTE_0051,Ridgecrest,12,877.56,30
Technical Outerwear,TECHNICAL_OUTE_0055,Edgewood,14,354.9,27
Technical Outerwear,TECHNICAL_OUTE_0062,Tidefall,7,2161.6,30
Technical Outerwear,TECHNICAL_OUTE_0063,Deepfreeze,8,4980.0,22
Technical Outerwear,TECHNICAL_OUTE_0066,Coldrun,11,3857.15,7
Technical Outerwear,TECHNICAL_OUTE_0073,Deepfreeze,9,2571.57,4
Technical Outerwear,TECHNICAL_OUTE_0075,Edgewood,9,2138.22,48
Technical Outerwear,TECHNICAL_OUTE_0077,Tidefall,21,9254.07,36
Technical Outerwear,TECHNICAL_OUTE_0081,Coldrun,5,3162.2,6
Technical Outerwear,TECHNICAL_OUTE_0093,Edgewood,6,642.24,22
Technical Outerwear,TECHNICAL_OUTE_0095,Deepfreeze,3,1348.41,84
Technical Outerwear,TECHNICAL_OUTE_0114,Coldrun,1,477.2,17
Technical Outerwear,TECHNICAL_OUTE_0117,Tidefall,12,3295.92,70
Technical Outerwear,TECHNICAL_OUTE_0131,Coldrun,8,1666.32,14
Technical Outerwear,TECHNICAL_OUTE_0134,Ridgecrest,8,508.16,56
Technical Outerwear,TECHNICAL_OUTE_0138,Coldrun,3,1344.75,41
Technical Outerwear,TECHNICAL_OUTE_0139,Edgewood,11,4429.15,35
Technical Outerwear,TECHNICAL_OUTE_0142,Coldrun,5,2993.9,48
Technical Outerwear,TECHNICAL_OUTE_0143,Edgewood,5,703.65,65
Technical Outerwear,TECHNICAL_OUTE_0144,Tidefall,10,1959.1,9
Technical Outerwear,TECHNICAL_OUTE_0145,Coldrun,7,555.1,55
Technical Outerwear,TECHNICAL_OUTE_0146,Deepfreeze,3,694.65,3
Technical Outerwear,TECHNICAL_OUTE_0167,Coldrun,5,2314.7,40
Technical Outerwear,TECHNICAL_OUTE_0172,Coldrun,7,913.15,7
Technical Outerwear,TECHNICAL_OUTE_0186,Edgewood,3,1798.26,77
Midlayer & Fleece,MIDLAYER_AND_F_0007,Northeave,8,3611.6,25
Midlayer & Fleece,MIDLAYER_AND_F_0016,Mesaflow,29,6585.61,27
Midlayer & Fleece,MIDLAYER_AND_F_0021,Mesaflow,3,1587.21,26
Midlayer & Fleece,MIDLAYER_AND_F_0025,Northeave,18,2140.74,33
Midlayer & Fleece,MIDLAYER_AND_F_0029,Mesaflow,6,1402.14,42
Midlayer & Fleece,MIDLAYER_AND_F_0045,Highmark,3,1780.65,57
Midlayer & Fleece,MIDLAYER_AND_F_0049,Coastline,12,7343.76,31
Midlayer & Fleece,MIDLAYER_AND_F_0050,Stonepath,11,4908.42,20
Midlayer & Fleece,MIDLAYER_AND_F_0063,Mesaflow,31,670.53,30
Midlayer & Fleece,MIDLAYER_AND_F_0072,Coastline,3,1080.0,8
Midlayer & Fleece,MIDLAYER_AND_F_0081,Coastline,10,2653.3,7
Midlayer & Fleece,MIDLAYER_AND_F_0082,Mesaflow,8,851.28,12
Midlayer & Fleece,MIDLAYER_AND_F_0089,Stonepath,18,6016.68,9
Midlayer & Fleece,MIDLAYER_AND_F_0094,Stonepath,2,934.86,12
Midlayer & Fleece,MIDLAYER_AND_F_0097,Clearwater,23,1889.68,9
Midlayer & Fleece,MIDLAYER_AND_F_0101,Tidefall,5,642.25,30
Midlayer & Fleece,MIDLAYER_AND_F_0113,Mesaflow,10,5066.6,3
Midlayer & Fleece,MIDLAYER_AND_F_0126,Stonepath,9,4015.89,120
Midlayer & Fleece,MIDLAYER_AND_F_0132,Coastline,5,151.15,20
Midlayer & Fleece,MIDLAYER_AND_F_0142,Coastline,14,6017.76,26
Midlayer & Fleece,MIDLAYER_AND_F_0162,Mesaflow,2,1141.94,74
Midlayer & Fleece,MIDLAYER_AND_F_0173,Clearwater,4,887.16,23
Midlayer & Fleece,MIDLAYER_AND_F_0174,Clearwater,10,2274.8,35
Midlayer & Fleece,MIDLAYER_AND_F_0180,Northeave,6,1333.68,36
Midlayer & Fleece,MIDLAYER_AND_F_0184,Northeave,8,2545.84,51
Midlayer & Fleece,MIDLAYER_AND_F_0187,Tidefall,9,3389.94,19
Midlayer & Fleece,MIDLAYER_AND_F_0193,Stonepath,4,2476.4,7
Midlayer & Fleece,MIDLAYER_AND_F_0199,Stonepath,10,827.4,3
Midlayer & Fleece,MIDLAYER_AND_F_0201,Coastline,10,3846.0,22
Midlayer & Fleece,MIDLAYER_AND_F_0204,Highmark,33,10815.75,21
Midlayer & Fleece,MIDLAYER_AND_F_0205,Northeave,11,6670.51,28
Midlayer & Fleece,MIDLAYER_AND_F_0207,Tidefall,2,523.62,26
Midlayer & Fleece,MIDLAYER_AND_F_0208,Tidefall,2,374.58,23
Midlayer & Fleece,MIDLAYER_AND_F_0211,Northeave,14,3516.52,81
Midlayer & Fleece,MIDLAYER_AND_F_0226,Stonepath,3,1198.23,19
Midlayer & Fleece,MIDLAYER_AND_F_0244,Tidefall,18,6887.52,53
Midlayer & Fleece,MIDLAYER_AND_F_0252,Highmark,14,1169.98,18
Midlayer & Fleece,MIDLAYER_AND_F_0257,Tidefall,13,1141.27,53
Midlayer & Fleece,MIDLAYER_AND_F_0258,Stonepath,7,1103.69,28
Midlayer & Fleece,MIDLAYER_AND_F_0259,Mesaflow,12,432.84,3
Midlayer & Fleece,MIDLAYER_AND_F_0261,Mesaflow,4,2212.08,87
Baselayer,BASELAYER_0006,Opentrail,3,189.18,120
Baselayer,BASELAYER_0007,Ridgecrest,7,4477.97,24
Baselayer,BASELAYER_0035,Ridgecrest,3,143.52,28
Baselayer,BASELAYER_0037,Opentrail,8,3951.92,46
Baselayer,BASELAYER_0047,Opentrail,5,2384.45,14
Baselayer,BASELAYER_0051,Summitform,15,7035.9,3
Baselayer,BASELAYER_0054,Firncrest,2,1165.4,38
Baselayer,BASELAYER_0055,Ridgecrest,12,5949.6,30
Baselayer,BASELAYER_0081,Summitform,15,6721.05,33
Baselayer,BASELAYER_0089,Ridgecrest,13,4897.36,37
Baselayer,BASELAYER_0093,Ridgecrest,6,3396.72,14
Baselayer,BASELAYER_0107,Opentrail,5,2855.85,21
Baselayer,BASELAYER_0118,Ridgecrest,12,698.88,120
Baselayer,BASELAYER_0119,Highmark,8,3228.16,22
Baselayer,BASELAYER_0125,Ridgecrest,4,649.0,19
Casual Apparel,CASUAL_APPAREL_0016,Rockline,8,3485.68,81
Casual Apparel,CASUAL_APPAREL_0027,Frostline,4,2178.72,19
Casual Apparel,CASUAL_APPAREL_0030,Rockline,7,2669.03,44
Casual Apparel,CASUAL_APPAREL_0033,Rockline,6,2807.58,20
Casual Apparel,CASUAL_APPAREL_0038,Frostline,5,1990.65,51
Casual Apparel,CASUAL_APPAREL_0068,Deepfreeze,6,1524.66,7
Casual Apparel,CASUAL_APPAREL_0075,Rockline,6,1210.62,38
Casual Apparel,CASUAL_APPAREL_0086,Deepfreeze,5,2380.85,34
Casual Apparel,CASUAL_APPAREL_0094,Stonepath,6,1127.58,15
Casual Apparel,CASUAL_APPAREL_0110,Iceform,6,113.52,23
Casual Apparel,CASUAL_APPAREL_0114,Deepfreeze,9,1755.72,44
Casual Apparel,CASUAL_APPAREL_0128,Stonepath,3,1253.49,15
Casual Apparel,CASUAL_APPAREL_0147,Stonepath,10,1261.2,20
Casual Apparel,CASUAL_APPAREL_0187,Deepfreeze,18,7817.04,3
Casual Apparel,CASUAL_APPAREL_0189,Iceform,15,5880.9,40
Casual Apparel,CASUAL_APPAREL_0191,Iceform,2,852.88,48
Casual Apparel,CASUAL_APPAREL_0196,Deepfreeze,3,884.52,3
Casual Apparel,CASUAL_APPAREL_0211,Iceform,4,792.0,28
Casual Apparel,CASUAL_APPAREL_0215,Rockline,7,133.63,12
Casual Apparel,CASUAL_APPAREL_0221,Frostline,16,4639.84,49
Casual Apparel,CASUAL_APPAREL_0242,Stonepath,15,3539.4,13
Casual Apparel,CASUAL_APPAREL_0243,Stonepath,7,4053.98,21
Casual Apparel,CASUAL_APPAREL_0245,Iceform,11,1691.03,19
Casual Apparel,CASUAL_APPAREL_0253,Iceform,9,372.6,3
Casual Apparel,CASUAL_APPAREL_0264,Deepfreeze,8,241.84,25
Casual Apparel,CASUAL_APPAREL_0266,Frostline,6,211.56,72
Casual Apparel,CASUAL_APPAREL_0268,Stonepath,1,154.45,10
Casual Apparel,CASUAL_APPAREL_0275,Frostline,5,2442.4,9
Casual Apparel,CASUAL_APPAREL_0283,Stonepath,7,3680.53,53
Casual Apparel,CASUAL_APPAREL_0292,Deepfreeze,7,987.98,52
Casual Apparel,CASUAL_APPAREL_0297,Rockline,5,2222.8,59
Casual Apparel,CASUAL_APPAREL_0298,Deepfreeze,14,5918.08,19
Casual Apparel,CASUAL_APPAREL_0305,Rockline,10,3480.8,14
Casual Apparel,CASUAL_APPAREL_0307,Stonepath,6,3104.04,17
Casual Apparel,CASUAL_APPAREL_0310,Deepfreeze,7,3477.11,6
Casual Apparel,CASUAL_APPAREL_0323,Rockline,4,2285.36,7
Casual Apparel,CASUAL_APPAREL_0327,Stonepath,5,944.3,34
Casual Apparel,CASUAL_APPAREL_0336,Stonepath,5,978.7,27
Casual Apparel,CASUAL_APPAREL_0344,Stonepath,18,8838.36,31
Casual Apparel,CASUAL_APPAREL_0346,Deepfreeze,10,5588.8,25
Hiking Footwear,HIKING_FOOTWEA_0009,Trailhead,4,348.52,31
Hiking Footwear,HIKING_FOOTWEA_0012,Iceform,11,5289.68,20
Hiking Footwear,HIKING_FOOTWEA_0022,Trailhead,4,118.36,9
Hiking Footwear,HIKING_FOOTWEA_0025,Iceform,13,7594.86,3
Hiking Footwear,HIKING_FOOTWEA_0031,Pinnacle,6,2563.56,26
Hiking Footwear,HIKING_FOOTWEA_0049,Iceform,6,1373.64,45
Hiking Footwear,HIKING_FOOTWEA_0051,Pinnacle,6,3744.96,44
Hiking Footwear,HIKING_FOOTWEA_0060,Clearwater,12,5422.56,23
Hiking Footwear,HIKING_FOOTWEA_0068,Clearwater,11,2306.59,7
Hiking Footwear,HIKING_FOOTWEA_0076,Trailhead,13,6139.12,36
Hiking Footwear,HIKING_FOOTWEA_0080,Pinnacle,8,3908.64,27
Hiking Footwear,HIKING_FOOTWEA_0090,Trailhead,2,1143.6,21
Hiking Footwear,HIKING_FOOTWEA_0096,Iceform,6,3736.74,31
Hiking Footwear,HIKING_FOOTWEA_0112,Trailhead,33,3470.61,12
Hiking Footwear,HIKING_FOOTWEA_0114,Clearwater,10,3059.9,115
Hiking Footwear,HIKING_FOOTWEA_0117,Iceform,7,4219.95,28
Hiking Footwear,HIKING_FOOTWEA_0121,Trailhead,17,947.41,22
Hiking Footwear,HIKING_FOOTWEA_0141,Iceform,11,6759.61,25
Hiking Footwear,HIKING_FOOTWEA_0147,Pinnacle,14,6601.28,16
Hiking Footwear,HIKING_FOOTWEA_0150,Pinnacle,17,10811.83,17
Hiking Footwear,HIKING_FOOTWEA_0170,Iceform,7,3947.02,37
Snow Boots & Footwear,SNOW_BOOTS_AND_0008,Highmark,30,5402.1,72
Snow Boots & Footwear,SNOW_BOOTS_AND_0012,Stonepath,21,3993.57,72
Snow Boots & Footwear,SNOW_BOOTS_AND_0013,Stonepath,1,474.57,10
Snow Boots & Footwear,SNOW_BOOTS_AND_0016,Ironpass,12,725.52,36
Snow Boots & Footwear,SNOW_BOOTS_AND_0023,Ironpass,8,4384.96,37
Snow Boots & Footwear,SNOW_BOOTS_AND_0024,Ironpass,4,292.08,24
Snow Boots & Footwear,SNOW_BOOTS_AND_0026,Ironpass,14,6197.66,32
Snow Boots & Footwear,SNOW_BOOTS_AND_0028,Stonepath,7,2499.14,53
Snow Boots & Footwear,SNOW_BOOTS_AND_0030,Shorebreak,3,1272.63,33
Snow Boots & Footwear,SNOW_BOOTS_AND_0036,Ironpass,8,1263.84,107
Snow Boots & Footwear,SNOW_BOOTS_AND_0037,Ironpass,32,15610.24,22
Snow Boots & Footwear,SNOW_BOOTS_AND_0045,Ironpass,2,96.42,75
Snow Boots & Footwear,SNOW_BOOTS_AND_0046,Highmark,2,1165.06,14
Snow Boots & Footwear,SNOW_BOOTS_AND_0055,Highmark,12,5616.84,7
Snow Boots & Footwear,SNOW_BOOTS_AND_0063,Ironpass,5,2988.95,6
Snow Boots & Footwear,SNOW_BOOTS_AND_0068,Ironpass,10,4278.4,55
Snow Boots & Footwear,SNOW_BOOTS_AND_0090,Ironpass,6,1631.64,106
Snow Boots & Footwear,SNOW_BOOTS_AND_0093,Shorebreak,11,1561.56,32
Snow Boots & Footwear,SNOW_BOOTS_AND_0095,Stonepath,15,5238.9,29
Snow Boots & Footwear,SNOW_BOOTS_AND_0100,Highmark,8,4185.6,31
Snow Boots & Footwear,SNOW_BOOTS_AND_0104,Highmark,6,3665.58,7
Snow Boots & Footwear,SNOW_BOOTS_AND_0107,Dustfall,12,5122.92,20
Snow Boots & Footwear,SNOW_BOOTS_AND_0116,Ironpass,6,2355.96,7
Snow Boots & Footwear,SNOW_BOOTS_AND_0124,Stonepath,14,8821.96,88
Snow Boots & Footwear,SNOW_BOOTS_AND_0125,Dustfall,3,741.81,11
Casual Footwear,CASUAL_FOOTWEA_0017,Iceform,5,949.55,46
Casual Footwear,CASUAL_FOOTWEA_0019,Mesaflow,1,564.78,18
Casual Footwear,CASUAL_FOOTWEA_0021,Mesaflow,6,1981.62,59
Casual Footwear,CASUAL_FOOTWEA_0023,Iceform,19,751.45,23
Casual Footwear,CASUAL_FOOTWEA_0034,Deepfreeze,7,549.78,32
Casual Footwear,CASUAL_FOOTWEA_0042,Ridgecrest,12,6765.48,36
Casual Footwear,CASUAL_FOOTWEA_0049,Iceform,11,4588.98,7
Casual Footwear,CASUAL_FOOTWEA_0080,Canyonset,13,2358.59,70
Casual Footwear,CASUAL_FOOTWEA_0083,Canyonset,12,2525.16,21
Casual Footwear,CASUAL_FOOTWEA_0096,Ridgecrest,2,745.94,6
Casual Footwear,CASUAL_FOOTWEA_0101,Hardpack,2,646.74,19
Helmets & Protection,HELMETS_AND_PR_0001,Mesaflow,2,1174.28,87
Helmets & Protection,HELMETS_AND_PR_0008,Shorebreak,17,4922.69,28
Helmets & Protection,HELMETS_AND_PR_0013,Tidefall,6,2867.94,7
Helmets & Protection,HELMETS_AND_PR_0019,Mesaflow,47,2163.41,59
Helmets & Protection,HELMETS_AND_PR_0025,Mesaflow,21,13482.0,30
Helmets & Protection,HELMETS_AND_PR_0057,Shorebreak,6,3651.9,22
Helmets & Protection,HELMETS_AND_PR_0058,Mesaflow,17,3638.17,7
Helmets & Protection,HELMETS_AND_PR_0065,Mesaflow,6,2678.46,25
Helmets & Protection,HELMETS_AND_PR_0066,Mesaflow,7,3385.41,20
Helmets & Protection,HELMETS_AND_PR_0074,Shorebreak,10,5102.6,24
Helmets & Protection,HELMETS_AND_PR_0078,Shorebreak,10,331.8,40
Goggles & Eyewear,GOGGLES_AND_EY_0003,Opentrail,2,230.38,97
Goggles & Eyewear,GOGGLES_AND_EY_0006,Opentrail,6,1136.64,3
Goggles & Eyewear,GOGGLES_AND_EY_0010,Opentrail,7,1377.67,64
Goggles & Eyewear,GOGGLES_AND_EY_0029,Mesaflow,6,1940.88,3
Goggles & Eyewear,GOGGLES_AND_EY_0036,Opentrail,7,3614.17,3
Goggles & Eyewear,GOGGLES_AND_EY_0041,Mesaflow,15,3218.25,82
Goggles & Eyewear,GOGGLES_AND_EY_0060,Summitform,6,2391.0,39
Goggles & Eyewear,GOGGLES_AND_EY_0088,Mesaflow,5,1610.75,20
Goggles & Eyewear,GOGGLES_AND_EY_0116,Summitform,16,4506.08,40
Goggles & Eyewear,GOGGLES_AND_EY_0131,Opentrail,10,3555.1,6
Goggles & Eyewear,GOGGLES_AND_EY_0136,Mesaflow,7,3531.57,3
Goggles & Eyewear,GOGGLES_AND_EY_0140,Mesaflow,8,3110.08,7
Goggles & Eyewear,GOGGLES_AND_EY_0143,Frostline,9,416.88,3
Goggles & Eyewear,GOGGLES_AND_EY_0153,Opentrail,7,828.31,32
Gloves & Handwear,GLOVES_AND_HAN_0002,Shorebreak,2,779.7,10
Gloves & Handwear,GLOVES_AND_HAN_0007,Clearwater,24,15222.0,15
Gloves & Handwear,GLOVES_AND_HAN_0022,Alpenglow,9,3601.17,14
Gloves & Handwear,GLOVES_AND_HAN_0025,Clearwater,3,1419.42,46
Gloves & Handwear,GLOVES_AND_HAN_0034,Alpenglow,30,2556.9,49
Gloves & Handwear,GLOVES_AND_HAN_0068,Duskridge,9,3388.32,24
Gloves & Handwear,GLOVES_AND_HAN_0091,Trailhead,11,1452.33,70
Gloves & Handwear,GLOVES_AND_HAN_0107,Terracross,2,683.46,21
Gloves & Handwear,GLOVES_AND_HAN_0114,Clearwater,6,3460.5,14
Gloves & Handwear,GLOVES_AND_HAN_0117,Duskridge,5,1372.0,49
Hydration & Nutrition,HYDRATION_AND__0007,Tidefall,12,3864.0,31
Hydration & Nutrition,HYDRATION_AND__0016,Clearwater,11,5393.74,32
Hydration & Nutrition,HYDRATION_AND__0022,Clearwater,45,2165.4,9
Hydration & Nutrition,HYDRATION_AND__0037,Clearwater,25,9843.75,15
Hydration & Nutrition,HYDRATION_AND__0041,Deepfreeze,2,332.72,37
Hydration & Nutrition,HYDRATION_AND__0052,Clearwater,3,1174.23,32
Hydration & Nutrition,HYDRATION_AND__0061,Deepfreeze,6,3747.72,23
Hydration & Nutrition,HYDRATION_AND__0062,Mesaflow,3,167.19,5
Hydration & Nutrition,HYDRATION_AND__0067,Tidefall,8,5032.56,17
Hydration & Nutrition,HYDRATION_AND__0081,Mesaflow,10,4385.1,33
Hydration & Nutrition,HYDRATION_AND__0098,Clearwater,2,868.84,17
Hydration & Nutrition,HYDRATION_AND__0127,Deepfreeze,4,2584.44,21
Camp Kitchen & Tools,CAMP_KITCHEN_A_0009,Deepfreeze,12,6755.16,35
Camp Kitchen & Tools,CAMP_KITCHEN_A_0014,Coldrun,13,929.37,7
Camp Kitchen & Tools,CAMP_KITCHEN_A_0020,Coldrun,3,399.84,27
Camp Kitchen & Tools,CAMP_KITCHEN_A_0029,Clearwater,5,2445.95,10
Camp Kitchen & Tools,CAMP_KITCHEN_A_0039,Clearwater,5,574.55,24
Camp Kitchen & Tools,CAMP_KITCHEN_A_0042,Gravelpath,10,1235.1,33
Camp Kitchen & Tools,CAMP_KITCHEN_A_0043,Deepfreeze,11,4367.88,27
Camp Kitchen & Tools,CAMP_KITCHEN_A_0054,Highmark,10,4588.2,18
Camp Kitchen & Tools,CAMP_KITCHEN_A_0073,Deepfreeze,2,1176.22,27
Camp Kitchen & Tools,CAMP_KITCHEN_A_0083,Clearwater,30,7547.4,21
Camp Kitchen & Tools,CAMP_KITCHEN_A_0085,Gravelpath,20,12301.4,35
Camp Kitchen & Tools,CAMP_KITCHEN_A_0088,Highmark,8,5020.0,28
Camp Kitchen & Tools,CAMP_KITCHEN_A_0089,Highmark,7,1183.91,4
Camp Kitchen & Tools,CAMP_KITCHEN_A_0095,Highmark,9,2308.5,55
Camp Kitchen & Tools,CAMP_KITCHEN_A_0107,Gravelpath,8,2968.64,120
Camp Kitchen & Tools,CAMP_KITCHEN_A_0109,Gravelpath,4,1429.16,45
Camp Kitchen & Tools,CAMP_KITCHEN_A_0118,Clearwater,7,1292.41,15
Camp Kitchen & Tools,CAMP_KITCHEN_A_0119,Deepfreeze,3,402.39,3
Camp Kitchen & Tools,CAMP_KITCHEN_A_0126,Deepfreeze,15,8195.4,24
Camp Kitchen & Tools,CAMP_KITCHEN_A_0131,Coldrun,9,1729.89,12
Camp Kitchen & Tools,CAMP_KITCHEN_A_0138,Coldrun,9,784.89,24
Camp Kitchen & Tools,CAMP_KITCHEN_A_0140,Highmark,12,3110.16,39
Camp Kitchen & Tools,CAMP_KITCHEN_A_0141,Gravelpath,5,1006.95,27
Camp Kitchen & Tools,CAMP_KITCHEN_A_0143,Deepfreeze,5,503.75,25
Camp Kitchen & Tools,CAMP_KITCHEN_A_0160,Deepfreeze,7,2266.67,20
Camp Kitchen & Tools,CAMP_KITCHEN_A_0162,Deepfreeze,12,5947.2,48
Camp Kitchen & Tools,CAMP_KITCHEN_A_0165,Deepfreeze,6,2358.24,26
Camp Kitchen & Tools,CAMP_KITCHEN_A_0182,Gravelpath,24,9641.76,37
Camp Kitchen & Tools,CAMP_KITCHEN_A_0213,Deepfreeze,9,1198.17,32
Camp Kitchen & Tools,CAMP_KITCHEN_A_0221,Highmark,8,711.84,44
Navigation & Safety,NAVIGATION_AND_0001,Dustfall,6,1875.36,44
Navigation & Safety,NAVIGATION_AND_0010,Canyonset,4,1749.48,17
Navigation & Safety,NAVIGATION_AND_0021,Ironpass,4,223.36,36
Navigation & Safety,NAVIGATION_AND_0024,Trailhead,3,1025.01,92
Navigation & Safety,NAVIGATION_AND_0025,Canyonset,21,683.13,19
Navigation & Safety,NAVIGATION_AND_0029,Dustfall,14,8107.82,7
Navigation & Safety,NAVIGATION_AND_0031,Ridgecrest,6,2811.6,16
Navigation & Safety,NAVIGATION_AND_0037,Ironpass,4,1297.4,43
Navigation & Safety,NAVIGATION_AND_0039,Basecamp,7,1977.08,36
Navigation & Safety,NAVIGATION_AND_0044,Basecamp,5,2067.95,39
Navigation & Safety,NAVIGATION_AND_0047,Dustfall,78,38379.12,3
Navigation & Safety,NAVIGATION_AND_0048,Basecamp,5,1600.65,4
Navigation & Safety,NAVIGATION_AND_0054,Basecamp,3,543.12,34
Navigation & Safety,NAVIGATION_AND_0062,Ridgecrest,6,2762.88,25
Navigation & Safety,NAVIGATION_AND_0066,Trailhead,5,2100.75,64
Navigation & Safety,NAVIGATION_AND_0072,Dustfall,13,4527.9,40
Navigation & Safety,NAVIGATION_AND_0074,Basecamp,6,2053.26,7
Navigation & Safety,NAVIGATION_AND_0076,Ridgecrest,23,3043.13,85
Navigation & Safety,NAVIGATION_AND_0082,Canyonset,10,1443.9,33
Navigation & Safety,NAVIGATION_AND_0100,Dustfall,5,711.55,7
Navigation & Safety,NAVIGATION_AND_0105,Ironpass,4,1448.68,21
Navigation & Safety,NAVIGATION_AND_0119,Canyonset,1,411.57,13
